VisitID,Date,Territory,Region,Rep,DealSize,Converted
5168,2025-09-09,Abeokuta,Ogun,Rep 15,0.0,0
5169,2025-09-09,Sagamu,Ogun,Rep 11,0.0,0
5170,2025-09-09,Ibadan North,Oyo,Rep 06,65202.28,1
5171,2025-09-09,Ibadan North,Oyo,Rep 04,0.0,0
5172,2025-09-09,Ibadan North,Oyo,Rep 16,0.0,0
5173,2025-09-09,Ibadan North,Oyo,Rep 07,0.0,0
5174,2025-09-09,Ibadan North,Oyo,Rep 17,156942.06,1
5175,2025-09-09,Ibadan South,Oyo,Rep 21,194683.35,1
5176,2025-09-09,Ibadan South,Oyo,Rep 09,281273.77,1
5177,2025-09-09,Ibadan South,Oyo,Rep 04,0.0,0
5178,2025-09-09,Ibadan South,Oyo,Rep 18,0.0,0
5179,2025-09-09,Ibadan South,Oyo,Rep 20,0.0,0
5180,2025-09-09,Ibadan South,Oyo,Rep 16,0.0,0
5181,2025-09-09,Ibadan South,Oyo,Rep 20,0.0,0
5182,2025-09-10,Lagos Mainland,Lagos,Rep 12,95391.37,1
5183,2025-09-10,Lagos Mainland,Lagos,Rep 05,247898.65,1
5184,2025-09-10,Lagos Mainland,Lagos,Rep 04,0.0,0
5185,2025-09-10,Lagos Mainland,Lagos,Rep 15,0.0,0
5186,2025-09-10,Lagos Mainland,Lagos,Rep 19,0.0,0
5187,2025-09-10,Lagos Mainland,Lagos,Rep 08,151907.14,1
5188,2025-09-10,Lagos Mainland,Lagos,Rep 08,130924.29,1
5189,2025-09-10,Lagos Mainland,Lagos,Rep 17,113168.51,1
5190,2025-09-10,Lagos Mainland,Lagos,Rep 12,0.0,0
5191,2025-09-10,Lagos Island,Lagos,Rep 10,0.0,0
5192,2025-09-10,Lagos Island,Lagos,Rep 03,0.0,0
5193,2025-09-10,Lagos Island,Lagos,Rep 06,0.0,0
5194,2025-09-10,Lagos Island,Lagos,Rep 04,0.0,0
5195,2025-09-10,Lekki-Ajah,Lagos,Rep 22,0.0,0
5196,2025-09-10,Lekki-Ajah,Lagos,Rep 14,0.0,0
5197,2025-09-10,Lekki-Ajah,Lagos,Rep 04,0.0,0
5198,2025-09-10,Lekki-Ajah,Lagos,Rep 06,0.0,0
5199,2025-09-10,Lekki-Ajah,Lagos,Rep 07,0.0,0
5200,2025-09-10,Lekki-Ajah,Lagos,Rep 10,170368.05,1
5201,2025-09-10,Lekki-Ajah,Lagos,Rep 06,34291.29,1
5202,2025-09-10,Abeokuta,Ogun,Rep 17,257734.56,1
5203,2025-09-10,Abeokuta,Ogun,Rep 19,0.0,0
5204,2025-09-10,Abeokuta,Ogun,Rep 10,148714.71,1
5205,2025-09-10,Abeokuta,Ogun,Rep 01,0.0,0
5206,2025-09-10,Abeokuta,Ogun,Rep 10,0.0,0
5207,2025-09-10,Sagamu,Ogun,Rep 19,0.0,0
5208,2025-09-10,Sagamu,Ogun,Rep 17,0.0,0
5209,2025-09-10,Ibadan South,Oyo,Rep 16,113971.63,1
5210,2025-09-10,Ibadan South,Oyo,Rep 07,0.0,0
5211,2025-09-10,Ibadan South,Oyo,Rep 17,0.0,0
5212,2025-09-10,Ibadan South,Oyo,Rep 11,179455.61,1
5213,2025-09-10,Ibadan South,Oyo,Rep 22,0.0,0
5214,2025-09-10,Ibadan South,Oyo,Rep 14,0.0,0
5215,2025-09-10,Ibadan South,Oyo,Rep 20,48789.05,1
5216,2025-09-11,Lagos Mainland,Lagos,Rep 05,192707.53,1
5217,2025-09-11,Lagos Mainland,Lagos,Rep 06,0.0,0
5218,2025-09-11,Lagos Mainland,Lagos,Rep 11,229233.29,1
5219,2025-09-11,Lagos Mainland,Lagos,Rep 11,0.0,0
5220,2025-09-11,Lagos Island,Lagos,Rep 09,0.0,0
5221,2025-09-11,Lagos Island,Lagos,Rep 05,0.0,0
5222,2025-09-11,Lagos Island,Lagos,Rep 15,33384.31,1
5223,2025-09-11,Lagos Island,Lagos,Rep 19,0.0,0
5224,2025-09-11,Lagos Island,Lagos,Rep 04,51093.18,1
5225,2025-09-11,Lekki-Ajah,Lagos,Rep 11,0.0,0
5226,2025-09-11,Lekki-Ajah,Lagos,Rep 12,0.0,0
5227,2025-09-11,Lekki-Ajah,Lagos,Rep 03,174105.95,1
5228,2025-09-11,Lekki-Ajah,Lagos,Rep 17,0.0,0
5229,2025-09-11,Lekki-Ajah,Lagos,Rep 06,88542.5,1
5230,2025-09-11,Lekki-Ajah,Lagos,Rep 07,0.0,0
5231,2025-09-11,Lekki-Ajah,Lagos,Rep 07,253776.6,1
5232,2025-09-11,Abeokuta,Ogun,Rep 13,0.0,0
5233,2025-09-11,Abeokuta,Ogun,Rep 22,0.0,0
5234,2025-09-11,Abeokuta,Ogun,Rep 12,116484.85,1
5235,2025-09-11,Abeokuta,Ogun,Rep 19,0.0,0
5236,2025-09-11,Abeokuta,Ogun,Rep 17,0.0,0
5237,2025-09-11,Abeokuta,Ogun,Rep 16,0.0,0
5238,2025-09-11,Abeokuta,Ogun,Rep 01,0.0,0
5239,2025-09-11,Ibadan South,Oyo,Rep 14,0.0,0
5240,2025-09-11,Ibadan South,Oyo,Rep 22,65752.37,1
5241,2025-09-11,Ibadan South,Oyo,Rep 12,142475.32,1
5242,2025-09-11,Ibadan South,Oyo,Rep 11,0.0,0
5243,2025-09-11,Ibadan South,Oyo,Rep 13,0.0,0
5244,2025-09-11,Ibadan South,Oyo,Rep 06,142530.57,1
5245,2025-09-12,Lagos Mainland,Lagos,Rep 04,0.0,0
5246,2025-09-12,Lagos Mainland,Lagos,Rep 03,100191.43,1
5247,2025-09-12,Lagos Mainland,Lagos,Rep 22,0.0,0
5248,2025-09-12,Lagos Mainland,Lagos,Rep 17,0.0,0
5249,2025-09-12,Lagos Mainland,Lagos,Rep 03,52728.18,1
5250,2025-09-12,Lagos Mainland,Lagos,Rep 08,24236.27,1
5251,2025-09-12,Lagos Mainland,Lagos,Rep 09,105436.15,1
5252,2025-09-12,Lagos Mainland,Lagos,Rep 11,0.0,0
5253,2025-09-12,Lagos Island,Lagos,Rep 11,0.0,0
5254,2025-09-12,Lagos Island,Lagos,Rep 09,0.0,0
5255,2025-09-12,Lagos Island,Lagos,Rep 13,183726.17,1
5256,2025-09-12,Lagos Island,Lagos,Rep 03,0.0,0
5257,2025-09-12,Lekki-Ajah,Lagos,Rep 20,0.0,0
5258,2025-09-12,Lekki-Ajah,Lagos,Rep 08,147588.26,1
5259,2025-09-12,Lekki-Ajah,Lagos,Rep 12,151987.03,1
5260,2025-09-12,Lekki-Ajah,Lagos,Rep 19,0.0,0
5261,2025-09-12,Lekki-Ajah,Lagos,Rep 21,100783.5,1
5262,2025-09-12,Lekki-Ajah,Lagos,Rep 21,193462.4,1
5263,2025-09-12,Lekki-Ajah,Lagos,Rep 08,0.0,0
5264,2025-09-12,Sagamu,Ogun,Rep 20,0.0,0
5265,2025-09-12,Ibadan South,Oyo,Rep 09,140280.61,1
5266,2025-09-12,Ibadan South,Oyo,Rep 21,48555.31,1
5267,2025-09-12,Ibadan South,Oyo,Rep 13,302224.55,1
5268,2025-09-12,Ibadan South,Oyo,Rep 20,32935.01,1
5269,2025-09-12,Ibadan South,Oyo,Rep 12,0.0,0
5270,2025-09-12,Ibadan South,Oyo,Rep 18,0.0,0
5271,2025-09-12,Ibadan South,Oyo,Rep 19,0.0,0
5272,2025-09-12,Ibadan South,Oyo,Rep 10,0.0,0
5273,2025-09-12,Ogbomosho,Oyo,Rep 02,0.0,0
5274,2025-09-12,Ogbomosho,Oyo,Rep 10,0.0,0
5275,2025-09-13,Ibadan North,Oyo,Rep 16,30005.79,1
5276,2025-09-13,Ibadan North,Oyo,Rep 10,0.0,0
5277,2025-09-13,Ibadan North,Oyo,Rep 07,0.0,0
5278,2025-09-13,Ibadan North,Oyo,Rep 03,0.0,0
5279,2025-09-13,Ibadan South,Oyo,Rep 02,103778.59,1
5280,2025-09-13,Ibadan South,Oyo,Rep 21,62885.86,1
5281,2025-09-13,Ibadan South,Oyo,Rep 17,48807.55,1
5282,2025-09-13,Ibadan South,Oyo,Rep 10,42611.94,1
5283,2025-09-13,Ibadan South,Oyo,Rep 17,266223.35,1
5284,2025-09-14,Lagos Island,Lagos,Rep 20,0.0,0
5285,2025-09-14,Lagos Island,Lagos,Rep 08,0.0,0
5286,2025-09-14,Lagos Island,Lagos,Rep 12,315470.96,1
5287,2025-09-14,Lagos Island,Lagos,Rep 02,157352.56,1
5288,2025-09-14,Lagos Island,Lagos,Rep 01,0.0,0
5289,2025-09-14,Ibadan North,Oyo,Rep 14,191171.41,1
5290,2025-09-14,Ibadan South,Oyo,Rep 16,40503.25,1
5291,2025-09-14,Ibadan South,Oyo,Rep 22,139628.55,1
5292,2025-09-14,Ibadan South,Oyo,Rep 01,0.0,0
5293,2025-09-14,Ibadan South,Oyo,Rep 10,0.0,0
5294,2025-09-14,Ibadan South,Oyo,Rep 14,195875.22,1
5295,2025-09-14,Ibadan South,Oyo,Rep 09,115122.68,1
5296,2025-09-15,Lagos Mainland,Lagos,Rep 08,0.0,0
5297,2025-09-15,Lagos Mainland,Lagos,Rep 08,193588.38,1
5298,2025-09-15,Lagos Mainland,Lagos,Rep 11,0.0,0
5299,2025-09-15,Lagos Mainland,Lagos,Rep 02,163964.28,1
5300,2025-09-15,Lagos Mainland,Lagos,Rep 12,145327.24,1
5301,2025-09-15,Lagos Mainland,Lagos,Rep 22,0.0,0
5302,2025-09-15,Lagos Mainland,Lagos,Rep 08,0.0,0
5303,2025-09-15,Lagos Mainland,Lagos,Rep 21,24049.44,1
5304,2025-09-15,Lagos Mainland,Lagos,Rep 20,88703.66,1
5305,2025-09-15,Lagos Mainland,Lagos,Rep 10,135004.23,1
5306,2025-09-15,Lagos Mainland,Lagos,Rep 21,0.0,0
5307,2025-09-15,Lagos Mainland,Lagos,Rep 05,185035.2,1
5308,2025-09-15,Lagos Mainland,Lagos,Rep 17,131138.2,1
5309,2025-09-15,Lagos Mainland,Lagos,Rep 12,0.0,0
5310,2025-09-15,Lagos Island,Lagos,Rep 14,0.0,0
5311,2025-09-15,Lagos Island,Lagos,Rep 17,0.0,0
5312,2025-09-15,Lagos Island,Lagos,Rep 07,202228.51,1
5313,2025-09-15,Lagos Island,Lagos,Rep 08,27566.5,1
5314,2025-09-15,Ibadan North,Oyo,Rep 18,200510.47,1
5315,2025-09-15,Ibadan North,Oyo,Rep 01,45989.2,1
5316,2025-09-16,Ibadan South,Oyo,Rep 12,0.0,0
5317,2025-09-16,Ibadan South,Oyo,Rep 10,0.0,0
5318,2025-09-16,Ibadan South,Oyo,Rep 10,264509.55,1
5319,2025-09-17,Lagos Island,Lagos,Rep 22,0.0,0
5320,2025-09-17,Lagos Island,Lagos,Rep 06,254574.95,1
5321,2025-09-17,Lagos Island,Lagos,Rep 11,0.0,0
5322,2025-09-17,Lagos Island,Lagos,Rep 18,0.0,0
5323,2025-09-17,Lagos Island,Lagos,Rep 18,0.0,0
5324,2025-09-17,Lagos Island,Lagos,Rep 18,0.0,0
5325,2025-09-17,Lagos Island,Lagos,Rep 17,0.0,0
5326,2025-09-17,Sagamu,Ogun,Rep 13,0.0,0
5327,2025-09-17,Sagamu,Ogun,Rep 17,0.0,0
5328,2025-09-17,Ibadan North,Oyo,Rep 05,0.0,0
5329,2025-09-17,Ibadan North,Oyo,Rep 08,0.0,0
5330,2025-09-17,Ibadan North,Oyo,Rep 18,200856.8,1
5331,2025-09-17,Ibadan South,Oyo,Rep 01,0.0,0
5332,2025-09-17,Ibadan South,Oyo,Rep 21,0.0,0
5333,2025-09-17,Ibadan South,Oyo,Rep 15,0.0,0
5334,2025-09-17,Ibadan South,Oyo,Rep 16,0.0,0
5335,2025-09-17,Ibadan South,Oyo,Rep 22,116887.56,1
5336,2025-09-18,Abeokuta,Ogun,Rep 13,0.0,0
5337,2025-09-18,Abeokuta,Ogun,Rep 11,0.0,0
5338,2025-09-18,Ibadan North,Oyo,Rep 19,0.0,0
5339,2025-09-18,Ibadan North,Oyo,Rep 21,0.0,0
5340,2025-09-18,Ibadan North,Oyo,Rep 04,54959.08,1
5341,2025-09-18,Ibadan North,Oyo,Rep 20,177364.13,1
5342,2025-09-18,Ibadan North,Oyo,Rep 19,0.0,0
5343,2025-09-18,Ibadan North,Oyo,Rep 07,20646.65,1
5344,2025-09-18,Ibadan North,Oyo,Rep 20,0.0,0
5345,2025-09-18,Ibadan South,Oyo,Rep 18,99884.34,1
5346,2025-09-18,Ibadan South,Oyo,Rep 09,0.0,0
5347,2025-09-18,Ibadan South,Oyo,Rep 15,0.0,0
5348,2025-09-19,Lagos Island,Lagos,Rep 22,97790.4,1
5349,2025-09-19,Lagos Island,Lagos,Rep 06,0.0,0
5350,2025-09-19,Lagos Island,Lagos,Rep 04,65259.65,1
5351,2025-09-19,Lagos Island,Lagos,Rep 08,0.0,0
5352,2025-09-19,Lagos Island,Lagos,Rep 18,127445.69,1
5353,2025-09-19,Abeokuta,Ogun,Rep 14,0.0,0
5354,2025-09-19,Abeokuta,Ogun,Rep 04,0.0,0
5355,2025-09-19,Abeokuta,Ogun,Rep 05,0.0,0
5356,2025-09-19,Abeokuta,Ogun,Rep 21,0.0,0
5357,2025-09-19,Abeokuta,Ogun,Rep 05,149387.92,1
5358,2025-09-19,Abeokuta,Ogun,Rep 06,0.0,0
5359,2025-09-19,Abeokuta,Ogun,Rep 08,0.0,0
5360,2025-09-19,Abeokuta,Ogun,Rep 14,0.0,0
5361,2025-09-19,Ibadan South,Oyo,Rep 22,104813.82,1
5362,2025-09-19,Ibadan South,Oyo,Rep 04,0.0,0
5363,2025-09-19,Ibadan South,Oyo,Rep 01,0.0,0
5364,2025-09-19,Ibadan South,Oyo,Rep 16,0.0,0
5365,2025-09-19,Ibadan South,Oyo,Rep 13,0.0,0
5366,2025-09-19,Ibadan South,Oyo,Rep 22,61497.71,1
5367,2025-09-19,Ibadan South,Oyo,Rep 16,0.0,0
5368,2025-09-19,Ibadan South,Oyo,Rep 05,0.0,0
5369,2025-09-20,Lagos Island,Lagos,Rep 03,0.0,0
5370,2025-09-20,Lagos Island,Lagos,Rep 16,167089.2,1
5371,2025-09-20,Lagos Island,Lagos,Rep 06,0.0,0
5372,2025-09-20,Lekki-Ajah,Lagos,Rep 07,0.0,0
5373,2025-09-20,Lekki-Ajah,Lagos,Rep 19,150129.2,1
5374,2025-09-20,Lekki-Ajah,Lagos,Rep 07,0.0,0
5375,2025-09-20,Lekki-Ajah,Lagos,Rep 10,0.0,0
5376,2025-09-20,Lekki-Ajah,Lagos,Rep 20,108493.13,1
5377,2025-09-20,Ibadan North,Oyo,Rep 01,0.0,0
5378,2025-09-20,Ibadan North,Oyo,Rep 12,0.0,0
5379,2025-09-20,Ibadan North,Oyo,Rep 07,249621.7,1
5380,2025-09-20,Ibadan North,Oyo,Rep 05,0.0,0
5381,2025-09-20,Ibadan North,Oyo,Rep 04,0.0,0
5382,2025-09-20,Ibadan North,Oyo,Rep 03,0.0,0
5383,2025-09-20,Ibadan South,Oyo,Rep 08,0.0,0
5384,2025-09-21,Lagos Mainland,Lagos,Rep 07,145873.26,1
5385,2025-09-21,Lagos Mainland,Lagos,Rep 08,0.0,0
5386,2025-09-21,Lagos Mainland,Lagos,Rep 08,0.0,0
5387,2025-09-21,Lagos Mainland,Lagos,Rep 13,0.0,0
5388,2025-09-21,Lagos Mainland,Lagos,Rep 17,0.0,0
5389,2025-09-21,Lagos Mainland,Lagos,Rep 01,0.0,0
5390,2025-09-21,Lagos Mainland,Lagos,Rep 02,22851.27,1
5391,2025-09-21,Lagos Mainland,Lagos,Rep 15,0.0,0
5392,2025-09-21,Lekki-Ajah,Lagos,Rep 22,183249.97,1
5393,2025-09-21,Lekki-Ajah,Lagos,Rep 11,0.0,0
5394,2025-09-21,Lekki-Ajah,Lagos,Rep 01,139170.68,1
